wl,Si,Sugar,PS
960,0.663462442,0.875084629,0.97332
961,0.663204449,0.874957824,0.973392
962,0.662656876,0.875606231,0.97332
963,0.662523316,0.876984246,0.973298
964,0.662783973,0.876317518,0.973535
965,0.664289548,0.876488196,0.974243
966,0.664539273,0.877492771,0.975144
967,0.66301227,0.8781555,0.975786
968,0.661432764,0.877109795,0.975754
969,0.661967866,0.877812762,0.975728
970,0.663425652,0.879007869,0.975961
971,0.664348647,0.879415765,0.976185
972,0.663808789,0.878636816,0.975679
973,0.663330335,0.878375842,0.973947
974,0.663402602,0.878300308,0.972865
975,0.663497077,0.878404757,0.973493
976,0.662771042,0.879085878,0.975399
977,0.66399213,0.879454161,0.976413
978,0.665139688,0.880141713,0.977323
979,0.665370188,0.880995063,0.977764
980,0.665292189,0.881227979,0.976664
981,0.66626803,0.880884319,0.975686
982,0.665767567,0.880115486,0.975844
983,0.664656839,0.880259918,0.976349
984,0.665389573,0.882369572,0.975878
985,0.666382995,0.882885668,0.976275
986,0.666350183,0.881679597,0.977039
987,0.665227009,0.881636877,0.977425
988,0.664174212,0.884649842,0.976939
989,0.666075181,0.883343337,0.976041
990,0.667770997,0.883341954,0.977268
991,0.667749511,0.88402272,0.977809
992,0.666208053,0.883520156,0.975791
993,0.665610447,0.883388401,0.977513
994,0.666123701,0.88346632,0.977938
995,0.667083088,0.88419565,0.97762
996,0.668161531,0.885706592,0.977323
997,0.67002047,0.887303411,0.975452
998,0.666866663,0.885502647,0.975297
999,0.668119697,0.885291421,0.976365
1000,0.675341501,0.888046463,0.977052
1001,0.646078737,0.894293296,0.981244
1002,0.646241926,0.894448115,0.98098
1003,0.64637374,0.894726671,0.980673
1004,0.646462371,0.894805583,0.980526
1005,0.64642735,0.894590051,0.980457
1006,0.646607728,0.894687487,0.980366
1007,0.646915214,0.894940019,0.980356
1008,0.647040246,0.89508979,0.980342
1009,0.647134877,0.895280643,0.980292
1010,0.64738227,0.895420072,0.980447
1011,0.647478805,0.895528389,0.980245
1012,0.647428157,0.89547548,0.979963
1013,0.647581637,0.895862657,0.979936
1014,0.647642514,0.896281531,0.979413
1015,0.647466574,0.896765499,0.979071
1016,0.647573216,0.897164618,0.979143
1017,0.6478175,0.896999631,0.978959
1018,0.648062262,0.896861174,0.97895
1019,0.648366303,0.896704752,0.97907
1020,0.648556993,0.896779371,0.978724
1021,0.64874423,0.896880096,0.978472
1022,0.648849384,0.897175049,0.977981
1023,0.648865298,0.897349208,0.97779
1024,0.648735569,0.897632527,0.977529
1025,0.648914086,0.897530274,0.977915
1026,0.6491272,0.897417037,0.97839
1027,0.649434872,0.897578003,0.978586
1028,0.649988466,0.897831721,0.978665
1029,0.65034203,0.898222041,0.978205
1030,0.65033263,0.898510833,0.97752
1031,0.650342193,0.898685648,0.977172
1032,0.65030017,0.898650799,0.977093
1033,0.650376083,0.898673419,0.977333
1034,0.650579506,0.899210162,0.977701
1035,0.650615866,0.899582593,0.977875
1036,0.650791612,0.899892785,0.977729
1037,0.650986295,0.900168938,0.977618
1038,0.651159209,0.900472913,0.977333
1039,0.651340818,0.900185532,0.977193
1040,0.651542581,0.900030805,0.977076
1041,0.651596061,0.899958152,0.977129
1042,0.651609223,0.899703424,0.977185
1043,0.651571357,0.899758196,0.977169
1044,0.651687831,0.8999858,0.977096
1045,0.65202631,0.900287312,0.976782
1046,0.652425714,0.900621151,0.976517
1047,0.652520921,0.90086035,0.976399
1048,0.652475532,0.901135505,0.97635
1049,0.652527063,0.901428883,0.976458
1050,0.652623445,0.901618192,0.976531
1051,0.652688393,0.901843293,0.976691
1052,0.652863803,0.901905761,0.976666
1053,0.653287753,0.901672973,0.976528
1054,0.653379427,0.901677327,0.97651
1055,0.653299377,0.901706134,0.976498
1056,0.653215615,0.901710392,0.976446
1057,0.653124424,0.902046785,0.976478
1058,0.65308352,0.902465089,0.976351
1059,0.653246754,0.902506659,0.976168
1060,0.653529922,0.902611313,0.976207
1061,0.653793669,0.902571724,0.9761
1062,0.654031239,0.902347695,0.976196
1063,0.654265999,0.902476575,0.97636
1064,0.65433012,0.902729716,0.976418
1065,0.654441084,0.902777617,0.976617
1066,0.654554003,0.902665015,0.977031
1067,0.654646049,0.902755093,0.977212
1068,0.654680075,0.902829593,0.977344
1069,0.654794161,0.902998742,0.977426
1070,0.654982341,0.903486457,0.97737
1071,0.6550399,0.90374254,0.977423
1072,0.655017151,0.904028664,0.977469
1073,0.655098359,0.903895196,0.977586
1074,0.655196044,0.903743158,0.977832
1075,0.655170311,0.903808872,0.977907
1076,0.65535072,0.903798237,0.97798
1077,0.655593289,0.903683509,0.978025
1078,0.655702241,0.903841232,0.977816
1079,0.655753133,0.904105468,0.977681
1080,0.655836451,0.90421986,0.977547
1081,0.655926054,0.90446645,0.977314
1082,0.655974836,0.904521116,0.977266
1083,0.655992947,0.904246087,0.977322
1084,0.656048848,0.904237883,0.977274
1085,0.655982908,0.904257248,0.977366
1086,0.656102861,0.904309544,0.977294
1087,0.656366378,0.904641709,0.977067
1088,0.65661362,0.904731408,0.976939
1089,0.657109483,0.904728152,0.976822
1090,0.657351552,0.904705901,0.976628
1091,0.657437186,0.904579215,0.976356
1092,0.657500364,0.904330196,0.976199
1093,0.657610357,0.9041992,0.976046
1094,0.657571001,0.904220166,0.975741
1095,0.657652048,0.904200148,0.975519
1096,0.657884385,0.904243091,0.975348
1097,0.657972867,0.904306371,0.975152
1098,0.657939003,0.904463809,0.974937
1099,0.658030725,0.904378257,0.974708
1100,0.658164369,0.904214275,0.974557
1101,0.658266224,0.904080627,0.974272
1102,0.658381118,0.903673396,0.973874
1103,0.658549568,0.903539059,0.973505
1104,0.658750964,0.90376175,0.973093
1105,0.658916415,0.903681292,0.972613
1106,0.659115777,0.903549074,0.972247
1107,0.659339884,0.903334602,0.971581
1108,0.659639154,0.902965955,0.970547
1109,0.65977178,0.902368949,0.969604
1110,0.659938825,0.901942677,0.968543
1111,0.660119494,0.901531246,0.967138
1112,0.660380541,0.901053009,0.965932
1113,0.660620261,0.900393293,0.964821
1114,0.660908069,0.900080613,0.963429
1115,0.661441402,0.900112043,0.961873
1116,0.661798572,0.899652066,0.960103
1117,0.662026014,0.899277929,0.957894
1118,0.662247433,0.898668844,0.955824
1119,0.662507381,0.896965444,0.953738
1120,0.66253127,0.896094522,0.951438
1121,0.662217473,0.896218968,0.949449
1122,0.661908155,0.895741471,0.947017
1123,0.661279511,0.895412239,0.94483
1124,0.660745291,0.89504253,0.94183
1125,0.660033621,0.893932544,0.938708
1126,0.659679759,0.893589084,0.935072
1127,0.659538044,0.893683594,0.931069
1128,0.659809378,0.894237171,0.926706
1129,0.659415485,0.895045343,0.922304
1130,0.659099954,0.896419301,0.918126
1131,0.65861918,0.897313279,0.913507
1132,0.657484488,0.898375006,0.908786
1133,0.657231518,0.898910589,0.904105
1134,0.65728737,0.899189682,0.899082
1135,0.657466275,0.899356255,0.894641
1136,0.65815856,0.899342768,0.890087
1137,0.658367299,0.899282121,0.886324
1138,0.65829588,0.89901335,0.882551
1139,0.658562727,0.898916378,0.879749
1140,0.659077593,0.898812197,0.877255
1141,0.659195635,0.898673364,0.875595
1142,0.659193335,0.898552351,0.87458
1143,0.659521834,0.898412039,0.874008
1144,0.659345159,0.898458405,0.874552
1145,0.658688263,0.898840704,0.875991
1146,0.658421336,0.899085883,0.878169
1147,0.658314652,0.899480493,0.881328
1148,0.658097746,0.90000622,0.884906
1149,0.657886771,0.900357164,0.888867
1150,0.657626393,0.900950946,0.89334
1151,0.657370103,0.901978625,0.898318
1152,0.657073909,0.90256639,0.90311
1153,0.656637521,0.902761766,0.908058
1154,0.656514561,0.90341798,0.912733
1155,0.656534638,0.904249004,0.917178
1156,0.656482522,0.904701227,0.921392
1157,0.656425843,0.905257598,0.925535
1158,0.65654604,0.905641114,0.929199
1159,0.656645108,0.905631949,0.93264
1160,0.656891671,0.905939682,0.935942
1161,0.657217033,0.90604546,0.938771
1162,0.657442526,0.906317701,0.941422
1163,0.657518714,0.907000508,0.943493
1164,0.657468587,0.907141163,0.945293
1165,0.657594879,0.907221835,0.946902
1166,0.657808733,0.907396483,0.948122
1167,0.657901331,0.907461006,0.949376
1168,0.658070482,0.907162988,0.950635
1169,0.658108415,0.907296859,0.951657
1170,0.657972044,0.907814058,0.952588
1171,0.657944869,0.907911762,0.95337
1172,0.657980227,0.907887057,0.954029
1173,0.657877799,0.907902145,0.954534
1174,0.657775624,0.907744368,0.954897
1175,0.65759632,0.907681098,0.955128
1176,0.657284685,0.907737921,0.955124
1177,0.657000704,0.907711869,0.955223
1178,0.656687941,0.907626336,0.955412
1179,0.656363488,0.907503139,0.955348
1180,0.656040695,0.907423001,0.954992
1181,0.655663173,0.907628905,0.954594
1182,0.655361593,0.907705219,0.95381
1183,0.655149227,0.907763945,0.952877
1184,0.655031966,0.907863425,0.952247
